trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 1.0}",20,0,-95.89676090602407,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.99, 'e': 0.99}",25,0,-145.61366627552397,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.99, 'e': 0.9801}",20,0,-62.543696319874506,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.99, 'e': 0.970299}",25,0,-139.3097013618203,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.99, 'e': 0.96059601}",30,0,-133.0035706229916,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.99, 'e': 0.9509900498999999}",20,7,-71.82299571499203,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.99, 'e': 0.941480149401}",25,0,-184.54586263344544,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.99, 'e': 0.9320653479069899}",20,0,-67.16699654215454,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.99, 'e': 0.9227446944279201}",20,0,-87.9142216976582,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.99, 'e': 0.9135172474836408}",20,0,-198.95874234949935,"{0: 8, 1: 1, 2: 6, 3: 3, 4: 2}",0
11,False,"{'a': 0.99, 'e': 0.9043820750088044}",30,0,-167.09395007940392,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
12,False,"{'a': 0.99, 'e': 0.8953382542587164}",30,0,-80.13048658799248,"{0: 17, 1: 5, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.99, 'e': 0.8863848717161292}",30,0,-147.98825811046424,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.99, 'e': 0.8775210229989678}",20,0,-42.096541783372494,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.99, 'e': 0.8687458127689782}",20,1,-122.06415493739588,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 2}",1
16,False,"{'a': 0.99, 'e': 0.8600583546412884}",30,6,-47.43971817213835,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 0}",1
17,False,"{'a': 0.99, 'e': 0.8514577710948755}",25,7,-48.6800924752973,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.99, 'e': 0.8429431933839268}",20,6,-16.977782688705062,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.99, 'e': 0.8345137614500875}",35,20,-7.570732289185749,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.99, 'e': 0.8261686238355866}",20,0,-74.01457640919989,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
21,False,"{'a': 0.99, 'e': 0.8179069375972308}",25,0,-75.69966184277595,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
22,False,"{'a': 0.99, 'e': 0.8097278682212584}",20,0,-84.07377968777148,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.99, 'e': 0.8016305895390459}",30,0,-52.267949467010325,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
24,False,"{'a': 0.99, 'e': 0.7936142836436554}",30,18,-29.68178361623497,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.99, 'e': 0.7856781408072188}",25,0,-59.42224621031418,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.99, 'e': 0.7778213593991467}",35,1,-98.37438615267989,"{0: 26, 1: 2, 2: 4, 3: 0, 4: 2}",1
27,False,"{'a': 0.99, 'e': 0.7700431458051551}",20,0,-69.96290472588808,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.99, 'e': 0.7623427143471035}",25,0,-140.78696507348647,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
29,False,"{'a': 0.99, 'e': 0.7547192872036326}",30,14,-144.37181346556002,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 3}",1
30,False,"{'a': 0.99, 'e': 0.7471720943315961}",20,0,-47.46652561225937,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
31,False,"{'a': 0.99, 'e': 0.7397003733882802}",20,0,-73.76469530698411,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.99, 'e': 0.7323033696543975}",25,0,-94.57783749604195,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
33,False,"{'a': 0.99, 'e': 0.7249803359578534}",20,0,-43.05634172917677,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
34,False,"{'a': 0.99, 'e': 0.7177305325982749}",20,0,-75.70332573161471,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.99, 'e': 0.7105532272722921}",30,1,-6.574028437292567,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.99, 'e': 0.7034476949995692}",25,0,-156.34694214871533,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
37,False,"{'a': 0.99, 'e': 0.6964132180495735}",30,3,-72.10161187624817,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 1}",1
38,False,"{'a': 0.99, 'e': 0.6894490858690777}",35,0,-69.05106679837824,"{0: 27, 1: 1, 2: 6, 3: 0, 4: 1}",0
39,False,"{'a': 0.99, 'e': 0.682554595010387}",20,0,-23.852039449855422,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
40,False,"{'a': 0.99, 'e': 0.6757290490602831}",30,0,-109.77689630432602,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
41,False,"{'a': 0.99, 'e': 0.6689717585696803}",35,0,-84.29986689323005,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
42,False,"{'a': 0.99, 'e': 0.6622820409839835}",20,0,-80.31877516395298,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.99, 'e': 0.6556592205741436}",20,0,-13.241141305948936,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.99, 'e': 0.6491026283684022}",20,0,-84.17885757189602,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
45,False,"{'a': 0.99, 'e': 0.6426116020847181}",25,0,-162.9974523174066,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
46,False,"{'a': 0.99, 'e': 0.6361854860638709}",25,0,-26.77758811822826,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 0.99, 'e': 0.6298236312032323}",25,14,-11.306934993498142,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.99, 'e': 0.6235253948912}",35,0,-116.24033558091536,"{0: 25, 1: 4, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.99, 'e': 0.617290140942288}",20,5,-24.22967585083547,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
50,False,"{'a': 0.99, 'e': 0.611117239532865}",30,0,-11.357674821082934,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
51,False,"{'a': 0.99, 'e': 0.6050060671375364}",20,0,-23.15914703022959,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.99, 'e': 0.598956006466161}",25,0,-25.02197505637326,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.99, 'e': 0.5929664464014994}",25,0,7.63337246851377,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.99, 'e': 0.5870367819374844}",25,4,-51.62486586579173,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 0}",1
55,False,"{'a': 0.99, 'e': 0.5811664141181095}",20,3,-26.011598172077427,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.99, 'e': 0.5753547499769285}",20,0,-69.17569644275407,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.99, 'e': 0.5696012024771592}",20,12,12.039123443159207,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.99, 'e': 0.5639051904523875}",20,13,-35.123856281644194,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
