trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.36048542960961,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.93474343869121,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.10831658939087,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-7.677228900767549,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.66670083697727,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.616868591116926,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-212.33186754556587,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,8,-50.916244887991716,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-89.09605535378509,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,1,-176.6819715386833,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 3}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.14868571360597,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.510336728440066,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-39.83257606675543,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-129.2778893306419,"{0: 19, 1: 3, 2: 13, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.46389415620985,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.3600542389532,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.28108537233234,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.95325725261932,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-12.848703812014536,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.23971398557669,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.37592388170596,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-155.96834527904406,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,9,-39.2634569596146,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-133.63990201409865,"{0: 16, 1: 3, 2: 10, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.44809358524387,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.78900555854204,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.11046192834779,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.53772602244041,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-25.294358561095738,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.28542946495946,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
